tenrac_id,tenrac_nom,tenrac_prenom,tenrac_courriel,tenrac_telephone,tenrac_adresse_principale,tenrac_adresse_complement,tenrac_adresse_code_postal,tenrac_adresse_ville,organisme_siret,grade_id,rang_id,titre_id,dignite_id,genre_id
1,SBEGHEN,ALEXANDRE,ALEXANDRE@SBEGHEN.FR,0766117611,44 AVENUE MAURICE THOREZ,RESIDENCE L'ARPEGE,13110,PORT-DE-BOUC,49573343174126,4,1,1,3,1
2,SOUBIALE,ELIAS,ELIAS.SOUBIALE2007@GMAIL.COM,0745746718,44 AVENUE PAUL LOMBARDI,,13620,CARRY-LE-ROUET,81039915742549,1,1,,2,1
3,DUJARDIN,TRISTAN,T.DUJARDIN@GMAIL.COM,0639340147,14 RUE DES LILAS,,75012,PARIS,19325770722439,2,,,,1
4,CARPENTIER,AYMERIC,AYMERIC.CARPENTIER@OUTLOOK.FR,0727075379,8 AVENUE VICTOR HUGO,RESIDENCE LA RESIDENCE,69003,LYON,81039915742549,1,1,2,1,3
5,DIEUDONNE,SEBASTIEN,SEB.DIEUDO@YAHOO.FR,0635708653,22 BOULEVARD SAINT-MICHEL,,33000,BORDEAUX,34343978457843,1,,,1,1
6,ALLARD,SEBASTIEN,ALLARDS01@HOTMAIL.COM,0640275210,47 RUE DE LA RÉPUBLIQUE,RESIDENCE DU PAFF,13001,MARSEILLE,91709245161275,2,,1,,1
7,GERIN,LAURA,LAURA.GERIN1994@WANADOO.FR,0656765327,3 RUE DU MOULIN,,59000,LILLE,29267099812654,5,2,,3,2
8,COURVOISIER,NICOLETTE,NICOLETTE.COURVOISIER@GMAIL.COM,0789896543,19 CHEMIN DES OLIVIERS,LA PETITE MAISON DANS LA PRAIRIE,31000,TOULOUSE,49573343174126,1,1,,1,2
9,AUGER,ELODIE,ELODIIIE@GMAIL.COM,0642424242,11 AVENUE DES FLEURS,MAISON DU PRE FLEURI,06000,NICE,65141608307812,3,1,2,2,3
10,GAVREAY,YVETTE,GAVREAY.Y@GMAIL.COM,0644450918,6 RUE DES PEUPLIERS,RESIDENCE DU PEUPLE,44000,NANTES,46088520694523,5,,2,2,2
11,VERDUN,ANGELINA,ANGEVERDUN@OUTLOOK.FR,0607586955,41 ALLEE LOUIS DAQUIN,LA CAGE D'ESCALIER,13500,MARTIGUES,18972948872548,4,1,1,2,2
12,HANOTIN,FIONA,FIONA.HANNOTIN@ETU.UNIV-AMU.FR,0761896236,9 IMPASSE DE BANCAU,,13500,MARTIGUES,19325770722439,6,2,2,3,2
13,PETIT,NOE,NOE.PETIT@LAMACHE.ORG,0777991797,14 RUE DU PAFF,,69100,LYON,11367072392341,1,1,,1,3
14,OROFIAMMA,EMMA,EMMA.OROFIAMMA@ETU.UNIV-AMU.FR,0781024046,4 RESIDENCE LES OLIVELLES,,13960,SAUSSET-LES-PINS,18972948872548,3,1,2,,2
15,BON,JEAN,JEANBON2014@MSN.COM,0654321234,25 RUE PASTEUR,,38000,GRENOBLE,70117132427816,1,,1,1,1
16,LAMBERT,JULIEN,JUJUDU21@CLUB-INTERNET.FR,0762842057,12 RUE DE LA LIBERTE,RESIDENCE LA MOUTARDE,21000,DIJON,47824861065134,1,1,1,2,1
17,FRANCOIS,MAXIME,MAXIME.FRANCOIS49@GMAIL.COM,0606060606,8 AVENUE JEAN JAURES,LA MAISON DU PAPE,49000,ANGERS,94514775215649,4,1,2,2,1
18,KEVIN,JEAN,JEANKEVIN@GMAIL.COM,0707070707,1 RUE DE L'ANONYMITE,,00000,VILLE,70117132427816,2,1,,,3
19,BEN-KHELIL,INES,INES.BEN-KHELIL@ETU.UNIV-AMU.FR,0739571269,45 RUE DU QUADRICEPS,,13500,MARTIGUES,77784108501264,7,2,3,3,1
20,PEYRON,MAELAN,MAELAN.PEYRON@ETU.UNIV-AMU.FR,0767676767,76 BOULEVARD DU SIX SEVEN,,67000,STRASBOURG,94514775215649,1,,,,4
